date,killed,injured,KilledAndInjured,Season,year
December,8,14,22,Winter,2021
November,55,175,230,Fall,2021
October,71,308,379,Fall,2021
September,61,261,322,Fall,2021
August,48,254,302,Summer,2021
July,78,361,439,Summer,2021
June,74,334,408,Summer,2021
May,80,310,390,Spring,2021
April,55,214,269,Spring,2021
March,67,178,245,Spring,2021
February,44,146,190,Winter,2021
January,31,137,168,Winter,2021
December,41,81,122,Winter,2020
November,44,205,249,Fall,2020
October,43,204,247,Fall,2020
September,45,286,331,Fall,2020
August,52,341,393,Summer,2020
July,75,391,466,Summer,2020
June,69,402,471,Summer,2020
May,38,253,291,Spring,2020
April,22,93,115,Spring,2020
March,26,110,136,Spring,2020
February,27,73,100,Winter,2020
January,31,104,135,Winter,2020
December,37,156,193,Winter,2019
November,27,129,156,Fall,2019
October,48,124,172,Fall,2019
September,46,115,161,Fall,2019
August,70,209,279,Summer,2019
July,33,185,218,Summer,2019
June,37,225,262,Summer,2019
May,49,204,253,Spring,2019
April,25,127,152,Spring,2019
March,12,87,99,Spring,2019
February,36,62,98,Winter,2019
January,45,86,131,Winter,2019
December,13,57,70,Winter,2018
November,49,59,108,Fall,2018
October,40,116,156,Fall,2018
September,35,128,163,Fall,2018
August,20,149,169,Summer,2018
July,41,181,222,Summer,2018
June,40,217,257,Summer,2018
May,30,120,150,Spring,2018
April,28,87,115,Spring,2018
March,11,67,78,Spring,2018
February,42,62,104,Winter,2018
January,23,87,110,Winter,2018
