state,killed,injured,KilledAndInjured,date,year
Alabama,1,3,4,26-Sep-20,2020
Alabama,0,4,4,23-Oct-20,2020
Alabama,2,3,5,31-Oct-20,2020
Alabama,1,3,4,21-Nov-20,2020
Alabama,1,5,6,31-Dec-20,2020
Alabama,1,3,4,25-May-20,2020
Alabama,0,4,4,04-Aug-20,2020
Alabama,0,7,7,01-Sep-20,2020
Alabama,7,0,7,11-Sep-20,2020
Alabama,0,4,4,26-Oct-20,2020
Alabama,3,1,4,20-Nov-20,2020
Alaska,0,4,4,20-Oct-20,2020
Alaska,4,0,4,31-Jan-20,2020
Alaska,1,4,5,29-Mar-20,2020
Arizona,0,4,4,24-Aug-20,2020
Arizona,2,2,4,22-Dec-20,2020
Arizona,1,4,5,15-Jan-20,2020
Arizona,1,6,7,18-Feb-20,2020
Arkansas,0,7,7,23-Nov-20,2020
Arkansas,5,0,5,22-Jan-20,2020
Arkansas,0,4,4,13-May-20,2020
Arkansas,1,3,4,08-Jun-20,2020
Arkansas,0,4,4,07-Jul-20,2020
Arkansas,3,1,4,27-Aug-20,2020
Arkansas,0,4,4,05-Sep-20,2020
Arkansas,0,5,5,17-Sep-20,2020
Arkansas,0,4,4,15-Apr-20,2020
Arkansas,0,5,5,16-Apr-20,2020
Arkansas,1,3,4,12-May-20,2020
Arkansas,0,4,4,13-May-20,2020
Arkansas,0,4,4,20-May-20,2020
California,0,6,6,28-Sep-20,2020
California,1,3,4,16-Oct-20,2020
California,0,5,5,27-Oct-20,2020
California,1,3,4,29-Nov-20,2020
California,1,4,5,24-Dec-20,2020
California,1,3,4,30-Dec-20,2020
California,1,3,4,13-Jan-20,2020
California,1,3,4,31-Jan-20,2020
California,1,5,6,21-Feb-20,2020
California,0,4,4,22-Mar-20,2020
California,1,4,5,23-Mar-20,2020
California,0,4,4,29-Mar-20,2020
California,2,3,5,26-Apr-20,2020
California,0,7,7,07-May-20,2020
California,1,4,5,27-Jun-20,2020
California,2,4,6,28-Jun-20,2020
California,0,5,5,08-Jul-20,2020
California,0,5,5,11-Aug-20,2020
California,0,4,4,25-Aug-20,2020
California,3,4,7,28-Aug-20,2020
