state,killed,id,injured,KilledOrInjured,date
Alabama,1,1,3,4,26 September 2020
Michigan,0,26,4,4,27 September 2020
California,0,6,6,6,28 September 2020
Mississippi,1,27,3,4,29 September 2020
Pennsylvania,0,42,4,4,30 September 2020
Massachusetts,1,25,4,5,01 October 2020
North Carolina,1,37,3,4,02 October 2020
Maryland,2,24,2,4,03 October 2020
Indiana,0,18,4,4,04 October 2020
Texas,3,48,1,4,05 October 2020
Florida,1,12,4,5,06 October 2020
Tennessee,0,47,7,7,07 October 2020
New York,0,36,4,4,08 October 2020
North Carolina,1,37,4,5,09 October 2020
Wisconsin,5,55,0,5,10 October 2020
Indiana,0,18,4,4,11 October 2020
Kentucky,0,21,4,4,12 October 2020
Florida,1,12,4,5,13 October 2020
Texas,0,48,4,4,14 October 2020
Texas,2,48,2,4,15 October 2020
California,1,6,3,4,16 October 2020
New York,0,36,4,4,17 October 2020
South Carolina,1,45,4,5,18 October 2020
Illinois,1,17,3,4,19 October 2020
Alaska,0,2,4,4,20 October 2020
Michigan,0,26,4,4,21 October 2020
South Carolina,1,45,3,4,22 October 2020
Alabama,0,1,4,4,23 October 2020
Colorado,1,8,4,5,24 October 2020
Illinois,1,17,4,5,25 October 2020
Texas,2,48,3,5,26 October 2020
California,0,6,5,5,27 October 2020
New Jersey,1,34,4,5,28 October 2020
Ohio,1,39,3,4,29 October 2020
New York,0,36,4,4,30 October 2020
Alabama,2,1,3,5,31 October 2020
Connecticut,1,9,5,6,01 November 2020
Michigan,4,26,0,4,02 November 2020
New York,0,36,5,5,03 November 2020
Pennsylvania,0,42,5,5,04 November 2020
Colorado,2,8,4,6,05 November 2020
Kentucky,1,21,3,4,06 November 2020
Ohio,1,39,3,4,07 November 2020
Ohio,2,39,9,11,08 November 2020
Ohio,1,39,3,4,09 November 2020
Oklahoma,0,40,4,4,10 November 2020
New York,0,36,4,4,11 November 2020
Ohio,0,39,5,5,12 November 2020
Texas,3,48,2,5,13 November 2020
Illinois,0,17,4,4,14 November 2020
New York,0,36,4,4,15 November 2020
Pennsylvania,1,42,4,5,16 November 2020
Illinois,0,17,6,6,17 November 2020
Pennsylvania,0,42,4,4,18 November 2020
New Jersey,0,34,5,5,19 November 2020
Pennsylvania,0,42,4,4,20 November 2020
Alabama,1,1,3,4,21 November 2020
Illinois,1,17,3,4,22 November 2020
Arkansas,0,5,7,7,23 November 2020
Colorado,0,8,6,6,24 November 2020
Illinois,0,17,4,4,25 November 2020
Illinois,0,17,4,4,26 November 2020
New York,1,36,3,4,27 November 2020
Tennessee,1,47,4,5,28 November 2020
California,1,6,3,4,29 November 2020
Florida,0,12,4,4,30 November 2020
Michigan,0,26,4,4,01 December 2020
Virginia,1,51,4,5,02 December 2020
New York,0,36,4,4,03 December 2020
Virginia,0,51,5,5,04 December 2020
Michigan,3,26,1,4,05 December 2020
Pennsylvania,0,42,4,4,06 December 2020
South Carolina,0,45,4,4,07 December 2020
Oregon,1,41,3,4,08 December 2020
Minnesota,0,27,4,4,09 December 2020
Pennsylvania,1,42,3,4,10 December 2020
Texas,1,48,4,5,11 December 2020
Illinois,1,17,5,6,12 December 2020
Nevada,2,32,2,4,13 December 2020
New York,0,36,4,4,14 December 2020
Illinois,1,17,3,4,15 December 2020
Illinois,1,17,4,5,16 December 2020
Kentucky,0,21,7,7,17 December 2020
Kentucky,0,21,5,5,18 December 2020
New York,1,36,4,5,19 December 2020
Pennsylvania,0,42,4,4,20 December 2020
Texas,2,48,2,4,21 December 2020
Florida,0,12,4,4,22 December 2020
Pennsylvania,0,42,5,5,23 December 2020
California,1,6,4,5,24 December 2020
Connecticut,1,9,5,6,25 December 2020
District of Columbia,0,11,4,4,26 December 2020
Missouri,1,29,3,4,27 December 2020
Wisconsin,0,55,4,4,28 December 2020
Illinois,0,17,4,4,29 December 2020
California,1,6,3,4,30 December 2020
Alabama,1,1,5,6,31 December 2020
Kentucky,1,21,4,5,01 January 2021
Massachusetts,0,25,5,5,02 January 2021
New York,1,36,3,4,03 January 2021
Pennsylvania,0,42,6,6,04 January 2021
Colorado,0,8,9,9,05 January 2021
District of Columbia,1,11,21,22,06 January 2021
Mississippi,0,27,4,4,07 January 2021
Ohio,0,39,6,6,08 January 2021
Texas,0,48,4,4,09 January 2021
Pennsylvania,1,42,3,4,10 January 2021
Georgia,0,13,4,4,11 January 2021
Mississippi,0,27,5,5,12 January 2021
California,1,6,3,4,13 January 2021
Maryland,2,24,2,4,14 January 2021
New York,2,36,2,4,15 January 2021
New York,0,36,4,4,16 January 2021
West Virginia,4,54,0,4,17 January 2021
Illinois,0,17,6,6,18 January 2021
Connecticut,2,9,2,4,19 January 2021
Mississippi,5,27,0,5,20 January 2021
Florida,1,12,4,5,21 January 2021
Arkansas,5,5,0,5,22 January 2021
Florida,1,12,4,5,23 January 2021
Florida,2,12,2,4,24 January 2021
Florida,1,12,3,4,25 January 2021
Illinois,3,17,3,6,26 January 2021
Massachusetts,1,25,5,6,27 January 2021
Indiana,1,18,3,4,28 January 2021
Oregon,0,41,4,4,29 January 2021
Illinois,0,17,4,4,30 January 2021
California,1,6,3,4,31 January 2021
North Carolina,0,37,6,6,01 February 2021
Texas,0,48,6,6,02 February 2021
Louisiana,2,22,3,5,03 February 2021
West Virginia,6,54,0,6,04 February 2021
Mississippi,0,27,4,4,05 February 2021
Delaware,1,10,4,5,06 February 2021
Illinois,0,17,6,6,07 February 2021
Louisiana,0,22,4,4,08 February 2021
Tennessee,0,47,7,7,09 February 2021
Connecticut,1,9,5,6,10 February 2021
Florida,1,12,4,5,11 February 2021
Mississippi,2,27,2,4,12 February 2021
Idaho,2,16,3,5,13 February 2021
North Carolina,0,37,4,4,14 February 2021
North Carolina,3,37,1,4,15 February 2021
