state,killed,id,injured,KilledOrInjured,date
Alabama,1,1,3,4,"September 26, 2020"
Alabama,1,1,3,4,"August 22, 2020"
Alabama,2,1,3,5,"August 15, 2020"
Alabama,1,1,5,6,"August 8, 2020"
Alabama,0,1,4,4,"August 1, 2020"
Alabama,1,1,3,4,"July 3, 2020"
Alabama,0,1,7,7,"June 28, 2020"
Alabama,0,1,4,4,"June 21, 2020"
Alabama,7,1,0,7,"June 4, 2020"
Alabama,3,1,1,4,"May 24, 2020"
Alabama,0,1,4,4,"May 11, 2020"
Alaska,4,2,0,4,"November 30, 2020"
Alaska,1,2,4,5,"October 7, 2020"
Alaska,0,2,4,4,"April 8, 2020"
Arizona,1,4,4,5,"November 21, 2020"
Arizona,2,4,2,4,"November 1, 2020"
Arizona,1,4,6,7,"October 16, 2020"
Arizona,0,4,4,4,"June 26, 2020"
Arkansas,5,5,0,5,"December 25, 2020"
Arkansas,0,5,5,5,"September 19, 2020"
Arkansas,0,5,4,4,"September 18, 2020"
Arkansas,0,5,4,4,"September 5, 2020"
Arkansas,1,5,3,4,"September 3, 2020"
Arkansas,0,5,4,4,"September 3, 2020"
Arkansas,0,5,7,7,"August 23, 2020"
Arkansas,0,5,4,4,"July 26, 2020"
Arkansas,1,5,3,4,"July 5, 2020"
Arkansas,0,5,4,4,"June 30, 2020"
Arkansas,3,5,1,4,"June 27, 2020"
Arkansas,0,5,4,4,"June 13, 2020"
Arkansas,0,5,5,5,"June 7, 2020"
California,1,6,3,4,"December 12, 2020"
California,1,6,3,4,"December 5, 2020"
California,2,6,3,5,"November 14, 2020"
California,0,6,4,4,"October 31, 2020"
California,0,6,4,4,"October 31, 2020"
California,2,6,4,6,"October 16, 2020"
California,1,6,3,4,"October 16, 2020"
California,1,6,3,4,"October 3, 2020"
California,0,6,4,4,"October 2, 2020"
California,1,6,3,4,"September 27, 2020"
California,2,6,4,6,"September 15, 2020"
California,7,6,0,7,"September 7, 2020"
California,0,6,4,4,"September 2, 2020"
California,1,6,3,4,"August 24, 2020"
California,0,6,5,5,"August 11, 2020"
California,1,6,3,4,"August 6, 2020"
California,1,6,4,5,"August 4, 2020"
California,0,6,7,7,"July 25, 2020"
California,2,6,3,5,"July 2, 2020"
California,0,6,4,4,"July 1, 2020"
California,0,6,4,4,"June 29, 2020"
California,3,6,4,7,"June 27, 2020"
California,0,6,4,4,"June 26, 2020"
California,0,6,5,5,"June 22, 2020"
California,0,6,5,5,"June 13, 2020"
California,1,6,4,5,"June 10, 2020"
California,2,6,4,6,"June 10, 2020"
California,2,6,3,5,"June 9, 2020"
California,1,6,4,5,"June 6, 2020"
California,0,6,5,5,"May 27, 2020"
California,0,6,5,5,"May 26, 2020"
California,0,6,5,5,"May 18, 2020"
California,0,6,6,6,"April 11, 2020"
California,1,6,3,4,"April 5, 2020"
California,1,6,3,4,"March 8, 2020"
California,1,6,5,6,"March 4, 2020"
California,1,6,5,6,"February 3, 2020"
California,1,6,4,5,"January 31, 2020"
California,0,6,4,4,"January 30, 2020"
Colorado,0,8,4,4,"September 6, 2020"
Colorado,0,8,6,6,"August 23, 2020"
Colorado,2,8,4,6,"August 16, 2020"
Colorado,0,8,9,9,"August 9, 2020"
Colorado,1,8,4,5,"August 1, 2020"
Colorado,1,8,3,4,"July 26, 2020"
Colorado,2,8,3,5,"July 25, 2020"
Colorado,0,8,5,5,"June 26, 2020"
Colorado,0,8,4,4,"June 5, 2020"
Colorado,0,8,5,5,"February 29, 2020"
Colorado,0,8,5,5,"January 11, 2020"
Connecticut,2,9,2,4,"December 20, 2020"
Connecticut,1,9,3,4,"September 20, 2020"
Connecticut,1,9,5,6,"August 15, 2020"
Connecticut,1,9,5,6,"August 4, 2020"
Connecticut,1,9,3,4,"June 25, 2020"
Connecticut,1,9,5,6,"February 16, 2020"
Connecticut,0,9,4,4,"January 27, 2020"
Delaware,2,10,2,4,"July 28, 2020"
Delaware,0,10,5,5,"July 11, 2020"
Delaware,1,10,4,5,"February 10, 2020"
District of Columbia,1,11,3,4,"October 5, 2020"
District of Columbia,1,11,21,22,"August 9, 2020"
District of Columbia,0,11,4,4,"August 4, 2020"
District of Columbia,1,11,8,9,"July 19, 2020"
District of Columbia,2,11,5,7,"June 13, 2020"
District of Columbia,0,11,7,7,"June 11, 2020"
District of Columbia,0,11,4,4,"May 30, 2020"
District of Columbia,0,11,6,6,"March 6, 2020"
Florida,2,12,2,4,"December 26, 2020"
Florida,1,12,3,4,"December 26, 2020"
Florida,1,12,4,5,"December 25, 2020"
Florida,1,12,4,5,"December 24, 2020"
Florida,1,12,3,4,"November 19, 2020"
Florida,0,12,4,4,"November 16, 2020"
Florida,2,12,4,6,"November 12, 2020"
Florida,1,12,7,8,"November 10, 2020"
Florida,0,12,4,4,"October 29, 2020"
Florida,1,12,3,4,"October 22, 2020"
Florida,3,12,1,4,"October 16, 2020"
Florida,0,12,4,4,"September 30, 2020"
Florida,0,12,4,4,"September 13, 2020"
Florida,0,12,6,6,"September 5, 2020"
Florida,1,12,3,4,"September 3, 2020"
Florida,0,12,4,4,"August 31, 2020"
Florida,0,12,4,4,"August 24, 2020"
Florida,0,12,5,5,"July 30, 2020"
Florida,0,12,5,5,"July 30, 2020"
Florida,1,12,3,4,"July 25, 2020"
Florida,0,12,4,4,"July 17, 2020"
Florida,2,12,2,4,"July 12, 2020"
Florida,0,12,5,5,"June 23, 2020"
Florida,2,12,4,6,"May 30, 2020"
Florida,0,12,5,5,"May 23, 2020"
Florida,0,12,6,6,"May 23, 2020"
Florida,0,12,5,5,"May 15, 2020"
Florida,1,12,3,4,"May 3, 2020"
Florida,1,12,4,5,"April 25, 2020"
Florida,1,12,4,5,"April 4, 2020"
Florida,1,12,4,5,"March 18, 2020"
Florida,1,12,4,5,"February 16, 2020"
Florida,1,12,3,4,"January 31, 2020"
Florida,1,12,3,4,"January 4, 2020"
Georgia,0,13,4,4,"December 10, 2020"
Georgia,1,13,5,6,"November 27, 2020"
Georgia,2,13,2,4,"November 15, 2020"
Georgia,0,13,4,4,"October 11, 2020"
Georgia,1,13,5,6,"October 4, 2020"
Georgia,1,13,3,4,"September 23, 2020"
Georgia,1,13,6,7,"September 6, 2020"
Georgia,1,13,3,4,"September 2, 2020"
Georgia,2,13,2,4,"July 24, 2020"
Georgia,2,13,13,15,"July 5, 2020"
Georgia,0,13,5,5,"July 4, 2020"
Georgia,1,13,4,5,"June 30, 2020"
Georgia,2,13,5,7,"June 13, 2020"
Georgia,1,13,3,4,"May 6, 2020"
Georgia,3,13,1,4,"March 31, 2020"
Georgia,0,13,4,4,"March 29, 2020"
Georgia,0,13,4,4,"January 5, 2020"
Hawaii,0,15,0,0,"January 1, 2020"
Idaho,2,16,3,5,"February 20, 2020"
Illinois,3,17,3,6,"December 26, 2020"
Illinois,0,17,6,6,"December 19, 2020"
Illinois,0,17,4,4,"December 4, 2020"
Illinois,1,17,3,4,"November 22, 2020"
Illinois,0,17,6,6,"November 21, 2020"
Illinois,0,17,4,4,"November 16, 2020"
Illinois,0,17,4,4,"November 16, 2020"
Illinois,1,17,3,4,"October 30, 2020"
Illinois,1,17,4,5,"October 18, 2020"
Illinois,1,17,3,4,"October 10, 2020"
Illinois,0,17,4,4,"September 26, 2020"
Illinois,0,17,4,4,"September 19, 2020"
Illinois,0,17,4,4,"September 19, 2020"
Illinois,0,17,5,5,"September 15, 2020"
Illinois,1,17,3,4,"September 13, 2020"
Illinois,2,17,4,6,"September 12, 2020"
Illinois,0,17,4,4,"September 6, 2020"
Illinois,1,17,3,4,"August 30, 2020"
Illinois,1,17,4,5,"August 30, 2020"
Illinois,1,17,5,6,"August 29, 2020"
Illinois,0,17,4,4,"August 23, 2020"
Illinois,0,17,4,4,"August 23, 2020"
Illinois,1,17,3,4,"August 22, 2020"
Illinois,0,17,6,6,"August 19, 2020"
Illinois,0,17,4,4,"August 18, 2020"
Illinois,0,17,4,4,"August 5, 2020"
Illinois,1,17,4,5,"August 1, 2020"
Illinois,1,17,4,5,"July 27, 2020"
Illinois,2,17,4,6,"July 23, 2020"
Illinois,0,17,15,15,"July 21, 2020"
Illinois,0,17,5,5,"July 20, 2020"
Illinois,2,17,3,5,"July 19, 2020"
