State,Killed,Injured,KilledOrInjured,AverageTemperature,id,year
Alabama,15,34,49,62.8,1,2020
Alaska,5,8,13,26.6,2,2020
Arizona,4,16,20,60.3,4,2020
Arkansas,10,48,58,60.4,5,2020
California,37,153,190,59.4,6,2020
Colorado,6,52,58,45.1,8,2020
Connecticut,7,27,34,49,9,2020
Delaware,3,11,14,55.3,10,2020
District of Columbia,5,58,63,48.3,11,2020
Florida,26,133,159,70.7,12,2020
Georgia,0,0,0,63.5,13,2020
Hawaii,18,73,91,70,15,2020
Idaho,2,3,5,44.4,16,2020
Illinois,42,297,339,51.8,17,2020
Indiana,9,23,32,51.7,18,2020
Iowa,5,16,21,47.8,19,2020
Kansas,0,9,9,54.3,20,2020
Kentucky,6,44,50,55.6,21,2020
Louisiana,21,113,134,66.4,22,2020
Maine,3,1,4,41,23,2020
Maryland,10,78,88,54.2,24,2020
Massachusetts,5,33,38,47.9,25,2020
Michigan,21,75,96,44.4,26,2020
Minnesota,1,34,35,41.2,27,2020
Mississippi,19,70,89,63.4,28,2020
Missouri,25,96,121,54.6,29,2020
Montana,0,0,0,42.7,30,2020
Nebraska,2,10,12,48.8,31,2020
Nevada,7,12,19,49.9,32,2020
New Hampshire,0,0,0,43.8,33,2020
New Jersey,11,51,62,52.7,34,2020
New Mexico,1,12,13,53.4,35,2020
New York,20,175,195,45.4,36,2020
North Carolina,26,80,106,59,37,2020
North Dakota,0,0,0,40.4,38,2020
Ohio,22,111,133,50.7,39,2020
Oklahoma,1,7,8,59.6,40,2020
Oregon,1,7,8,48.4,41,2020
Pennsylvania,15,139,154,48.8,42,2020
Rhode Island,0,0,0,50.1,44,2020
South Carolina,24,98,122,62.4,45,2020
South Dakota,1,3,4,45.2,46,2020
Tennessee,9,85,94,57.6,47,2020
Texas,37,124,161,64.8,48,2020
Utah,4,1,5,48.6,49,2020
Vermont,0,0,0,42.9,50,2020
Virginia,3,46,49,55.1,51,2020
Washington,2,25,27,48.3,53,2020
West Virginia,10,7,17,51.8,54,2020
Wisconsin,11,42,53,43.1,55,2020
Wyoming,0,0,0,42,56,2020
Alabama,17,47,64,65.4,1,2019
Alaska,0,0,0,31.1,2,2019
Arizona,7,26,33,60.3,4,2019
Arkansas,3,20,23,61.3,5,2019
California,65,193,258,58.4,6,2019
Colorado,2,20,22,45.3,8,2019
Connecticut,1,12,13,49.9,9,2019
Delaware,0,10,10,57.6,10,2019
District of Columbia,4,28,32,47.5,11,2019
Florida,20,54,74,73.2,12,2019
Georgia,0,0,0,66.3,13,2019
Hawaii,16,74,90,71,15,2019
Idaho,0,0,0,43,16,2019
Illinois,28,182,210,52.1,17,2019
Indiana,6,49,55,52.4,18,2019
Iowa,3,11,14,46.9,19,2019
Kansas,5,16,21,53.9,20,2019
Kentucky,6,18,24,57.6,21,2019
Louisiana,20,106,126,67.8,22,2019
Maine,0,0,0,40.7,23,2019
Maryland,12,85,97,56.6,24,2019
Massachusetts,7,17,24,48.7,25,2019
Michigan,8,35,43,44,26,2019
Minnesota,1,12,13,39.3,27,2019
Mississippi,8,21,29,65.1,28,2019
Missouri,20,60,80,55,29,2019
Montana,5,4,9,40,30,2019
Nebraska,0,4,4,47.5,31,2019
Nevada,1,14,15,49.9,32,2019
New Hampshire,0,0,0,43.3,33,2019
New Jersey,12,47,59,54.3,34,2019
New Mexico,8,18,26,54.5,35,2019
